Detected	Gain	Correct Count	Step Size	Subject Number	Height	Age	Sex	RA Name	Other
True	1	1	0.05	Test	64	22	Female	Anirwin	Y
True	-0.95	2	0.05	Test	64	22	Female	Anirwin	Y
True	0.9	3	0.05	Test	64	22	Female	Anirwin	Y
True	-0.85	4	0.05	Test	64	22	Female	Anirwin	Y
True	0.8	5	0.05	Test	64	22	Female	Anirwin	Y
True	-0.7499999	6	0.05	Test	64	22	Female	Anirwin	Y
True	0.6999999	7	0.05	Test	64	22	Female	Anirwin	Y
True	-0.6499999	8	0.05	Test	64	22	Female	Anirwin	Y
True	1	1	0.05	test	test	test	Female	test	
True	-1	1	0.05	test	test	test	Female	test	
True	0.95	2	0.05	test	test	test	Female	test	
False	1	0	0.05	Test	Test	Test	Female	Test	
True	-0.95	1	0.05	Test	Test	Test	Female	Test	
False	0.9	1	0.05	Test	Test	Test	Female	Test	
True	-0.85	2	0.05	Test	Test	Test	Female	Test	
False	0.8	2	0.05	Test	Test	Test	Female	Test	
True	-0.7499999	3	0.05	Test	Test	Test	Female	Test	
True	0.6999999	4	0.05	Test	Test	Test	Female	Test	
True	-0.6499999	5	0.05	Test	Test	Test	Female	Test	
True	0.5999999	6	0.05	Test	Test	Test	Female	Test	
True	-0.5499999	7	0.05	Test	Test	Test	Female	Test	
True	0.6	1	0.03	Test	Test	Test	Female	Test	
True	-0.5700001	2	0.03	Test	Test	Test	Female	Test	
True	0.5400001	3	0.03	Test	Test	Test	Female	Test	
True	-0.5100001	4	0.03	Test	Test	Test	Female	Test	
True	0.4800001	5	0.03	Test	Test	Test	Female	Test	
False	-0.4500001	5	0.03	Test	Test	Test	Female	Test	
True	0.4200001	6	0.03	Test	Test	Test	Female	Test	
True	-0.3900001	7	0.03	Test	Test	Test	Female	Test	
True	0.3600001	8	0.03	Test	Test	Test	Female	Test	
True	-0.3300001	9	0.03	Test	Test	Test	Female	Test	
True	0.36	1	0.018	Test	Test	Test	Female	Test	
True	-0.342	2	0.018	Test	Test	Test	Female	Test	
False	0.324	2	0.018	Test	Test	Test	Female	Test	
True	-0.306	3	0.018	Test	Test	Test	Female	Test	
